iso_code3,iso_code2,pik_name,cait_name,ndcp_navigators_name,wri_standard_name,unfccc_group,location_type,show_in_cw
ERI,,Eritrea,Eritrea,Eritrea,Eritrea,UNFCCC Non-Annex I,COUNTRY,Yes
ESP,,Spain,Spain,Spain,Spain,UNFCCC Annex I,COUNTRY,Yes
EST,,Estonia,Estonia,Estonia,Estonia,UNFCCC Annex I,COUNTRY,Yes
ETH,,Ethiopia,Ethiopia,Ethiopia,Ethiopia,UNFCCC Non-Annex I,COUNTRY,Yes
EU15,,European Union (15),,,,,GROUP,No
EU28,European Union,European Union (28),,European Union (28),,,GROUP,Yes
FIN,,Finland,Finland,Finland,Finland,UNFCCC Annex I,COUNTRY,Yes
FJI,,Fiji,Fiji,Fiji,Fiji,UNFCCC Non-Annex I,COUNTRY,Yes
FRA,,France,France,France,France,UNFCCC Annex I,COUNTRY,Yes
FSM,,"Micronesia, Federated States of",,Micronesia (the Federated States of),Micronesia,UNFCCC Non-Annex I,COUNTRY,Yes
GAB,,Gabon,Gabon,Gabon,Gabon,UNFCCC Non-Annex I,COUNTRY,Yes
GBR,,United Kingdom,United Kingdom,United Kingdom (the),United Kingdom,UNFCCC Annex I,COUNTRY,Yes
GEO,,Georgia,Georgia,Georgia,Georgia,UNFCCC Non-Annex I,COUNTRY,Yes
GHA,,Ghana,Ghana,Ghana,Ghana,UNFCCC Non-Annex I,COUNTRY,Yes
GIN,,Guinea,Guinea,Guinea,Guinea,UNFCCC Non-Annex I,COUNTRY,Yes
GMB,,Gambia,"Gambia, The",Gambia (The),Gambia,UNFCCC Non-Annex I,COUNTRY,Yes
GNB,,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,UNFCCC Non-Annex I,COUNTRY,Yes
GNQ,,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,UNFCCC Non-Annex I,COUNTRY,Yes
GRC,,Greece,Greece,Greece,Greece,UNFCCC Annex I,COUNTRY,Yes
GRD,,Grenada,Grenada,Grenada,Grenada,UNFCCC Non-Annex I,COUNTRY,Yes
GTM,,Guatemala,Guatemala,Guatemala,Guatemala,UNFCCC Non-Annex I,COUNTRY,Yes
GUY,,Guyana,Guyana,Guyana,Guyana,UNFCCC Non-Annex I,COUNTRY,Yes
HKG,,"Hong Kong, Special Administrative Region of China",,,,,COUNTRY,No
HND,,Honduras,Honduras,Honduras,Honduras,UNFCCC Non-Annex I,COUNTRY,Yes
HRV,,Croatia,Croatia,Croatia,Croatia,UNFCCC Annex I,COUNTRY,Yes
HTI,,Haiti,Haiti,Haiti,Haiti,UNFCCC Non-Annex I,COUNTRY,Yes
HUN,,Hungary,Hungary,Hungary,Hungary,UNFCCC Annex I,COUNTRY,Yes
IDN,,Indonesia,Indonesia,Indonesia,Indonesia,UNFCCC Non-Annex I,COUNTRY,Yes
IND,,India,India,India,India,UNFCCC Non-Annex I,COUNTRY,Yes
IRL,,Ireland,Ireland,Ireland,Ireland,UNFCCC Annex I,COUNTRY,Yes
IRN,,"Iran, Islamic Republic of",Iran,Iran (the Islamic Republic of),Iran,UNFCCC Non-Annex I,COUNTRY,Yes
IRQ,,Iraq,Iraq,Iraq,Iraq,UNFCCC Non-Annex I,COUNTRY,Yes
ISL,,Iceland,Iceland,Iceland,Iceland,UNFCCC Annex I,COUNTRY,Yes
ISR,,Israel,Israel,Israel,Israel,UNFCCC Non-Annex I,COUNTRY,Yes
ITA,,Italy,Italy,Italy,Italy,UNFCCC Annex I,COUNTRY,Yes
